waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,329103	2,522971E+0	3,177174E-3
4/22/2022  09:49:08,329353	2,522005E+0	-6,850528E-4
4/22/2022  09:49:08,329603	2,524580E+0	2,805037E-4
4/22/2022  09:49:08,329853	2,522005E+0	1,246060E-3
4/22/2022  09:49:08,330103	2,521683E+0	1,567913E-3
4/22/2022  09:49:08,330353	2,520396E+0	9,242081E-4
4/22/2022  09:49:08,330603	2,522327E+0	3,177174E-3
4/22/2022  09:49:08,330853	2,523614E+0	1,567913E-3
4/22/2022  09:49:08,331103	2,522649E+0	3,499026E-3
4/22/2022  09:49:08,331353	2,523293E+0	1,246060E-3
4/22/2022  09:49:08,331603	2,525224E+0	2,855321E-3
4/22/2022  09:49:08,331853	2,522005E+0	6,023559E-4
4/22/2022  09:49:08,332103	2,521683E+0	2,855321E-3
4/22/2022  09:49:08,332353	2,523936E+0	2,533469E-3
4/22/2022  09:49:08,332603	2,523936E+0	4,464582E-3
4/22/2022  09:49:08,332853	2,522649E+0	2,855321E-3
4/22/2022  09:49:08,333103	2,523293E+0	6,023559E-4
4/22/2022  09:49:08,333353	2,523293E+0	2,533469E-3
4/22/2022  09:49:08,333603	2,522649E+0	2,211617E-3
4/22/2022  09:49:08,333853	2,524902E+0	2,855321E-3
4/22/2022  09:49:08,334103	2,521361E+0	2,805037E-4
4/22/2022  09:49:08,334353	2,524902E+0	2,855321E-3
4/22/2022  09:49:08,334603	2,522649E+0	1,889765E-3
4/22/2022  09:49:08,334853	2,523293E+0	1,246060E-3
4/22/2022  09:49:08,335103	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,335353	2,522005E+0	2,533469E-3
4/22/2022  09:49:08,335603	2,521683E+0	2,533469E-3
4/22/2022  09:49:08,335853	2,523293E+0	1,889765E-3
4/22/2022  09:49:08,336103	2,521683E+0	3,820878E-3
4/22/2022  09:49:08,336353	2,525546E+0	1,567913E-3
4/22/2022  09:49:08,336603	2,522649E+0	1,889765E-3
4/22/2022  09:49:08,336853	2,524258E+0	1,889765E-3
4/22/2022  09:49:08,337103	2,522327E+0	2,533469E-3
4/22/2022  09:49:08,337353	2,523936E+0	3,820878E-3
4/22/2022  09:49:08,337603	2,523936E+0	9,242081E-4
4/22/2022  09:49:08,337853	2,524258E+0	3,177174E-3
4/22/2022  09:49:08,338103	2,524258E+0	2,855321E-3
4/22/2022  09:49:08,338353	2,523293E+0	2,533469E-3
4/22/2022  09:49:08,338603	2,523293E+0	3,820878E-3
4/22/2022  09:49:08,338853	2,522971E+0	4,464582E-3
4/22/2022  09:49:08,339103	2,522971E+0	1,246060E-3
4/22/2022  09:49:08,339353	2,524258E+0	9,242081E-4
4/22/2022  09:49:08,339603	2,522005E+0	1,889765E-3
4/22/2022  09:49:08,339853	2,522971E+0	1,567913E-3
4/22/2022  09:49:08,340103	2,523614E+0	2,855321E-3
4/22/2022  09:49:08,340353	2,524580E+0	2,533469E-3
4/22/2022  09:49:08,340603	2,522971E+0	1,567913E-3
4/22/2022  09:49:08,340853	2,522005E+0	2,855321E-3
4/22/2022  09:49:08,341103	2,522005E+0	2,533469E-3
4/22/2022  09:49:08,341353	2,523936E+0	1,889765E-3
4/22/2022  09:49:08,341603	2,522649E+0	3,177174E-3
4/22/2022  09:49:08,341853	2,522327E+0	2,533469E-3
4/22/2022  09:49:08,342103	2,523614E+0	2,211617E-3
4/22/2022  09:49:08,342353	2,522649E+0	1,889765E-3
4/22/2022  09:49:08,342603	2,525224E+0	2,211617E-3
