0.000000	-4.542250E-2	    2.934880E-1	-8.101424E-1	-1.029645
0.000010	1.081010E-1	        3.021780E-1	-6.814018E-1	-9.105600E-1
0.000020	2.651650E-1	        3.102243E-1	-5.487989E-1	-7.917969E-1
0.000030	4.199761E-1	        3.160177E-1	-4.145867E-1	-6.656310E-1
0.000040	5.689939E-1	        3.214892E-1	-2.784434E-1	-5.384996E-1
0.000050	7.218740E-1	        3.224547E-1	-1.406907E-1	-4.087934E-1
0.000060	8.708920E-1	        3.285699E-1	-1.972462E-3	-2.761904E-1
0.000070	1.014117	        3.266388E-1	1.354585E-1	-1.423000E-1
0.000080	1.153801	        3.259951E-1	2.732113E-1	-6.478392E-3
0.000090	1.289623	        3.243858E-1	4.087112E-1	1.254810E-1
0.000100	1.420296	        3.198799E-1	5.419582E-1	2.561531E-1
0.000110	1.545175	        3.156958E-1	6.732742E-1	3.906875E-1
0.000120	1.665227	        3.102243E-1	8.007280E-1	5.181411E-1
0.000130	1.776267	        3.037873E-1	9.268944E-1	6.449511E-1
0.000140	1.883766	        2.934880E-1	1.048233	7.704738E-1
0.000150	1.979357	        2.844761E-1	1.165388	8.882721E-1
0.000160	2.066580	        2.732113E-1	1.277393	1.004783
0.000170	2.151549	        2.629120E-1	1.384248	1.118397
0.000180	2.223967	        2.519690E-1	1.485632	1.227827
0.000190	2.288982	        2.355545E-1	1.581867	1.328246
0.000200	2.344663	        2.210712E-1	1.671986	1.427699
0.000210	2.388757	        2.069097E-1	1.754703	1.516209
0.000220	2.427701	        1.895297E-1	1.830660	1.607293
0.000230	2.454094	        1.731152E-1	1.899537	1.685826
0.000240	2.470830	        1.554133E-1	1.961655	1.760496
0.000250	2.480808	        1.393207E-1	2.016049	1.824867
0.000260	2.477267	        1.174347E-1	2.062074	1.888916
0.000270	2.466646	        1.006984E-1	2.100696	1.939447
0.000280	2.443794	        7.784689E-2	2.130629	1.984829
0.000290	2.412896	        6.304169E-2	2.152193	2.021198
0.000300	2.370733	        3.858092E-2	2.164746	2.054993
0.000310	2.319880	        2.023534E-2	2.168930	2.076557
0.000320	2.261946	        2.805037E-4	2.165389	2.086857
0.000330	2.195322	        -1.935248E-2	2.152837	2.092328
0.000340	2.114858	        -4.027287E-2	2.130951	2.090075
0.000350	2.032463	        -5.926215E-2	2.101340	2.078488
0.000360	1.941378	        -8.340106E-2	2.062396	2.056924
0.000370	1.835810	        -9.981551E-2	2.015405	2.029888
0.000380	1.730563	        -1.178392E-1	1.961011	1.992231
0.000390	1.611477	        -1.410126E-1	1.898250	1.947172
0.000400	1.493357	        -1.558178E-1	1.828407	1.894709
0.000410	1.363006	        -1.728759E-1	1.751484	1.834522
0.000420	1.230724	        -1.889685E-1	1.667480	1.766933
0.000430	1.093293	        -2.082797E-1	1.577039	1.692906
0.000440	9.503897E-1	        -2.263034E-1	1.480161	1.612121
0.000450	8.045902E-1	        -2.359589E-1	1.376846	1.526186
0.000460	6.536412E-1	        -2.491549E-1	1.269990	1.435101
0.000470	5.030140E-1	        -2.662130E-1	1.157020	1.332430
0.000480	3.491685E-1	        -2.758686E-1	1.039221	1.230080
0.000490	1.946793E-1	        -2.842367E-1	9.182044E-1	1.122903
0.000500	4.147759E-2	        -2.922830E-1	7.933254E-1	1.009933
0.000510	-1.130114E-1	    -3.006512E-1	6.655497E-1	8.927780E-1
0.000520	-2.671786E-1	    -3.099849E-1	5.345556E-1	7.765890E-1
0.000530	-4.252078E-1	    -3.128815E-1	4.016305E-1	6.497789E-1
0.000540	-5.732596E-1	    -3.189967E-1	2.661305E-1	5.229689E-1
0.000550	-7.261391E-1	    -3.180312E-1	1.303088E-1	3.961590E-1
0.000560	-8.745127E-1	    -3.244682E-1	-7.122097E-3	2.619464E-1
0.000570	-1.020955	        -3.257556E-1	-1.455185E-1	1.322399E-1
0.000580	-1.161926	        -3.260775E-1	-2.819838E-1	-2.294314E-3
0.000590	-1.296460	        -3.254338E-1	-4.174834E-1	-1.348974E-1
0.000600	-1.424878	        -3.186749E-1	-5.504082E-1	-2.668567E-1
0.000610	-1.549757	        -3.161001E-1	-6.814018E-1	-3.988160E-1
0.000620	-1.671094	        -3.099849E-1	-8.094987E-1	-5.272348E-1
0.000630	-1.781489	        -3.025823E-1	-9.343770E-1	-6.543662E-1
0.000640	-1.889953	        -2.929267E-1	-1.055715	-7.798883E-1
0.000650	-1.984255	        -2.852023E-1	-1.172869	-8.967204E-1
0.000660	-2.073086	        -2.736156E-1	-1.284551	-1.013874
0.000670	-2.158055	        -2.604197E-1	-1.391406	-1.127166
0.000680	-2.230793	        -2.530171E-1	-1.492789	-1.233055
0.000690	-2.296451	        -2.375682E-1	-1.588701	-1.334438
0.000700	-2.350200	        -2.211537E-1	-1.677853	-1.432281
0.000710	-2.396546	        -2.069922E-1	-1.760569	-1.525940
0.000720	-2.434846	        -1.899341E-1	-1.836526	-1.613161
0.000730	-2.460916	        -1.754507E-1	-1.905402	-1.693624
0.000740	-2.478296	        -1.567833E-1	-1.967197	-1.765075
0.000750	-2.486343	        -1.390815E-1	-2.020946	-1.830411
0.000760	-2.480871	        -1.184829E-1	-2.067615	-1.892850
0.000770	-2.471859	        -1.020685E-1	-2.105593	-1.943702
0.000780	-2.450295	        -8.050439E-2	-2.135525	-1.990692
0.000790	-2.418754	        -5.990585E-2	-2.157089	-2.027705
0.000800	-2.376913	        -3.930731E-2	-2.170285	-2.059247
0.000810	-2.327670	        -1.967433E-2	-2.174791	-2.084029
0.000820	-2.265231	        2.805037E-4	-2.170285	-2.092719
