-66,606115
-66,256223
-66,123812
-65,912863
-65,711474
-65,615070
-65,644344
-65,479021
-65,310991
-65,158234
-65,084197
-64,966814
-64,846498
-64,733985
-64,589541
-64,388618
-64,190453
-63,938835
-63,707888
-63,648701
-63,496621
-63,264439
-63,009239
-62,938730
-62,848217
-62,601619
-62,441852
-62,081890
-62,013538
-61,672162
-61,568966
-61,300644
-61,231597
-61,007075
-60,692161
-60,552029
-60,145498
-59,967867
-59,685530
-59,519523
-59,144442
-59,012226
-58,638927
-58,271981
-58,074746
-57,794923
-57,510411
-57,107915
-56,905970
-56,584630
-56,173332
-55,850495
-55,706308
-55,200477
-54,986019
-54,584653
-53,964871
-53,696964
-53,345780
-52,922198
-52,401150
-51,969381
-51,633948
-51,174601
-50,659700
-50,203935
-49,633976
-49,313616
-48,655433
-48,080791
-47,779403
-47,186623
-46,648955
-45,935539
-45,393560
-44,767873
-44,038472
-43,567047
-42,682709
-42,112596
-41,303835
-40,746254
-39,914953
-39,127838
-38,369452
-37,525211
-36,792135
-35,871476
-35,104756
-34,241211
-33,336557
-32,331553
-31,424509
-30,343776
-29,454608
-28,297751
-27,420019
-26,327603
-25,226841
-24,216493
-23,083412
-21,911657
-20,725598
-19,531603
-18,313028
-17,083895
-16,004335
-14,724184
-13,304425
-12,069691
-10,847622
-9,375322
-7,993495
-6,807005
-4,233340
-2,709954
-1,251652
-0,274434
1,276956
2,689850
4,147545
5,332680
6,360906
8,098647
9,467684
10,639963
11,927682
13,385810
15,709745
16,915494
18,186757
19,539731
20,852835
21,727825
22,939341
24,200187
25,200129
26,285543
27,275336
28,549492
29,263123
30,333858
31,383945
32,442117
33,172226
34,295408
35,177827
35,813057
36,512435
37,556380
38,440643
39,208912
39,978323
40,642351
41,283419
42,063047
42,846945
43,419221
44,164303
44,778205
45,479405
46,078551
46,561031
47,107559
47,732372
48,524880
48,960282
49,486996
49,925464
50,348950
50,907470
51,346292
51,931883
52,306076
52,706104
53,040251
53,680190
53,971065
54,398625
54,851907
55,088041
55,470651
55,886024
56,180646
56,881918
57,187458
57,549183
57,769389
58,064297
58,489585
58,743038
59,079751
59,343790
59,617732
59,946331
60,005724
60,520984
60,592029
61,126271
61,448290
61,639520
61,963733
62,130489
62,242008
62,415802
62,655218
63,005960
63,178047
63,297614
63,412390
63,585930
63,823219
64,106478
64,174528
64,351988
64,552514
64,751805
64,984229
65,051530
65,230254
65,462964
65,569923
65,574213
65,729431
66,029662
66,129657
66,225579
66,447227
66,430002
66,628887
66,791571
66,927148
67,082191
67,173015
67,280508
67,378403
67,491217
67,653192
67,705269
67,796487
67,856523
67,940354
67,994294
68,239800
68,298972
68,494869
68,529411
68,610923
68,803622
68,823900
68,871691
69,015512
69,094889
69,139897
69,265554
69,299928
