waveform	V_in	V_out
t0	4/22/2022  12:11:16,292991	4/22/2022  12:11:16,292992
delta t	2,000000E-6	2,000000E-6

time	V_in	V_out
4/22/2022  12:11:16,293297	1,597638E+0	1,129340E+0
4/22/2022  12:11:16,293299	1,965839E+0	1,011542E+0
4/22/2022  12:11:16,293301	2,208196E+0	8,303385E-1
4/22/2022  12:11:16,293303	2,313765E+0	5,937765E-1
4/22/2022  12:11:16,293305	2,272889E+0	3,202018E-1
4/22/2022  12:11:16,293307	2,091363E+0	2,538498E-2
4/22/2022  12:11:16,293309	1,774014E+0	-2,713626E-1
4/22/2022  12:11:16,293311	1,348844E+0	-5,459022E-1
4/22/2022  12:11:16,293313	8,354881E-1	-7,892220E-1
4/22/2022  12:11:16,293315	2,699928E-1	-9,804018E-1
4/22/2022  12:11:16,293317	-3,083756E-1	-1,115258E+0
4/22/2022  12:11:16,293319	-8,716160E-1	-1,178662E+0
4/22/2022  12:11:16,293321	-1,379819E+0	-1,166432E+0
4/22/2022  12:11:16,293323	-1,803697E+0	-1,083394E+0
4/22/2022  12:11:16,293325	-2,110421E+0	-9,340552E-1
4/22/2022  12:11:16,293327	-2,284864E+0	-7,254954E-1
4/22/2022  12:11:16,293329	-2,319946E+0	-4,676923E-1
4/22/2022  12:11:16,293331	-2,206011E+0	-1,786693E-1
4/22/2022  12:11:16,293333	-1,954967E+0	1,174347E-1
4/22/2022  12:11:16,293335	-1,579367E+0	4,064582E-1
4/22/2022  12:11:16,293337	-1,109786E+0	6,674808E-1
4/22/2022  12:11:16,293339	-5,619948E-1	8,892376E-1
4/22/2022  12:11:16,293341	1,572941E-2	1,050486E+0
4/22/2022  12:11:16,293343	5,902362E-1	1,151548E+0
4/22/2022  12:11:16,293345	1,131915E+0	1,179871E+0
4/22/2022  12:11:16,293347	1,597959E+0	1,129662E+0
4/22/2022  12:11:16,293349	1,965517E+0	1,012186E+0
4/22/2022  12:11:16,293351	2,210449E+0	8,284074E-1
4/22/2022  12:11:16,293353	2,315696E+0	5,947421E-1
4/22/2022  12:11:16,293355	2,275142E+0	3,185925E-1
4/22/2022  12:11:16,293357	2,090397E+0	2,506312E-2
4/22/2022  12:11:16,293359	1,773370E+0	-2,707189E-1
4/22/2022  12:11:16,293361	1,347879E+0	-5,462241E-1
4/22/2022  12:11:16,293363	8,358100E-1	-7,885783E-1
4/22/2022  12:11:16,293365	2,699928E-1	-9,800799E-1
4/22/2022  12:11:16,293367	-3,077319E-1	-1,115901E+0
4/22/2022  12:11:16,293369	-8,722597E-1	-1,178662E+0
4/22/2022  12:11:16,293371	-1,382716E+0	-1,167719E+0
4/22/2022  12:11:16,293373	-1,802731E+0	-1,083716E+0
4/22/2022  12:11:16,293375	-2,109777E+0	-9,334115E-1
4/22/2022  12:11:16,293377	-2,286795E+0	-7,235643E-1
4/22/2022  12:11:16,293379	-2,320589E+0	-4,673704E-1
4/22/2022  12:11:16,293381	-2,205045E+0	-1,809222E-1
4/22/2022  12:11:16,293383	-1,957220E+0	1,174347E-1
4/22/2022  12:11:16,293385	-1,579367E+0	4,058145E-1
4/22/2022  12:11:16,293387	-1,107211E+0	6,674808E-1
4/22/2022  12:11:16,293389	-5,642478E-1	8,895595E-1
