waveform	V_in	Passa basso
t0	4/22/2022  12:10:24,087735	4/22/2022  12:10:24,087736
delta t	2,000000E-6	2,000000E-6

time	V_in	Passa basso
4/22/2022  12:10:24,087837	5,760746E-1	-2,617071E-1
4/22/2022  12:10:24,087839	1,119685E+0	-1,348974E-1
4/22/2022  12:10:24,087841	1,588948E+0	6,023559E-4
4/22/2022  12:10:24,087843	1,961011E+0	1,354585E-1
4/22/2022  12:10:24,087845	2,207230E+0	2,619464E-1
4/22/2022  12:10:24,087847	2,315374E+0	3,713763E-1
4/22/2022  12:10:24,087849	2,278039E+0	4,569891E-1
4/22/2022  12:10:24,087851	2,097156E+0	5,149226E-1
4/22/2022  12:10:24,087853	1,787210E+0	5,397053E-1
4/22/2022  12:10:24,087855	1,361075E+0	5,316589E-1
4/22/2022  12:10:24,087857	8,499715E-1	4,888525E-1
4/22/2022  12:10:24,087859	2,851198E-1	4,161138E-1
4/22/2022  12:10:24,087861	-2,932486E-1	3,163395E-1
4/22/2022  12:10:24,087863	-8,587420E-1	1,972541E-1
4/22/2022  12:10:24,087865	-1,368233E+0	6,529465E-2
4/22/2022  12:10:24,087867	-1,795007E+0	-7,117068E-2
4/22/2022  12:10:24,087869	-2,105271E+0	-2,024863E-1
4/22/2022  12:10:24,087871	-2,286151E+0	-3,218934E-1
4/22/2022  12:10:24,087873	-2,322521E+0	-4,210238E-1
4/22/2022  12:10:24,087875	-2,211804E+0	-4,940841E-1
4/22/2022  12:10:24,087877	-1,963335E+0	-5,352811E-1
4/22/2022  12:10:24,087879	-1,592563E+0	-5,436493E-1
4/22/2022  12:10:24,087881	-1,119442E+0	-5,185448E-1
4/22/2022  12:10:24,087883	-5,780874E-1	-4,596460E-1
4/22/2022  12:10:24,087885	2,533469E-3	-3,721023E-1
4/22/2022  12:10:24,087887	5,763965E-1	-2,620289E-1
4/22/2022  12:10:24,087889	1,117754E+0	-1,352192E-1
4/22/2022  12:10:24,087891	1,586695E+0	-4,134846E-5
4/22/2022  12:10:24,087893	1,958115E+0	1,351366E-1
4/22/2022  12:10:24,087895	2,207552E+0	2,606590E-1
4/22/2022  12:10:24,087897	2,314730E+0	3,704107E-1
4/22/2022  12:10:24,087899	2,277717E+0	4,563454E-1
4/22/2022  12:10:24,087901	2,096512E+0	5,139570E-1
4/22/2022  12:10:24,087903	1,785279E+0	5,393834E-1
4/22/2022  12:10:24,087905	1,361719E+0	5,313371E-1
4/22/2022  12:10:24,087907	8,499715E-1	4,888525E-1
4/22/2022  12:10:24,087909	2,851198E-1	4,154701E-1
4/22/2022  12:10:24,087911	-2,938923E-1	3,153740E-1
4/22/2022  12:10:24,087913	-8,577764E-1	1,962886E-1
4/22/2022  12:10:24,087915	-1,368554E+0	6,497280E-2
4/22/2022  12:10:24,087917	-1,792432E+0	-7,117068E-2
4/22/2022  12:10:24,087919	-2,102696E+0	-2,031300E-1
4/22/2022  12:10:24,087921	-2,285830E+0	-3,225371E-1
4/22/2022  12:10:24,087923	-2,319624E+0	-4,207019E-1
4/22/2022  12:10:24,087925	-2,211482E+0	-4,940841E-1
4/22/2022  12:10:24,087927	-1,963979E+0	-5,362467E-1
4/22/2022  12:10:24,087929	-1,591919E+0	-5,442930E-1
4/22/2022  12:10:24,087931	-1,122016E+0	-5,182230E-1
4/22/2022  12:10:24,087933	-5,777656E-1	-4,606115E-1
4/22/2022  12:10:24,087935	6,023559E-4	-3,727460E-1
4/22/2022  12:10:24,087937	5,751091E-1	-2,620289E-1
4/22/2022  12:10:24,087939	1,118397E+0	-1,352192E-1
4/22/2022  12:10:24,087941	1,587982E+0	-3,632007E-4
4/22/2022  12:10:24,087943	1,958758E+0	1,348147E-1
4/22/2022  12:10:24,087945	2,205943E+0	2,606590E-1
4/22/2022  12:10:24,087947	2,314730E+0	3,700889E-1
4/22/2022  12:10:24,087949	2,277073E+0	4,563454E-1
4/22/2022  12:10:24,087951	2,097800E+0	5,139570E-1
4/22/2022  12:10:24,087953	1,784313E+0	5,390616E-1
4/22/2022  12:10:24,087955	1,363006E+0	5,310152E-1
4/22/2022  12:10:24,087957	8,496497E-1	4,885307E-1
4/22/2022  12:10:24,087959	2,867291E-1	4,154701E-1
4/22/2022  12:10:24,087961	-2,938923E-1	3,156958E-1
4/22/2022  12:10:24,087963	-8,580983E-1	1,962886E-1
4/22/2022  12:10:24,087965	-1,367911E+0	6,497280E-2
4/22/2022  12:10:24,087967	-1,792432E+0	-7,117068E-2
4/22/2022  12:10:24,087969	-2,104628E+0	-2,037737E-1
4/22/2022  12:10:24,087971	-2,284220E+0	-3,225371E-1
